ref_date,geo,reg_status,prog_level,program_class,sex,value
2002/2003,Canada,Part-time student,Undergraduate level,"Architecture, engineering and related technologies",Females,1575
2002/2003,Canada,Part-time student,Undergraduate level,"Agriculture, natural resources and conservation",Both sexes,1626
2002/2003,Canada,Part-time student,Undergraduate level,"Agriculture, natural resources and conservation",Males,750
2002/2003,Canada,Part-time student,Undergraduate level,"Agriculture, natural resources and conservation",Females,873
2002/2003,Canada,Part-time student,Undergraduate level,"Health, parks, recreation and fitness",Both sexes,11259
2002/2003,Canada,Part-time student,Undergraduate level,"Health, parks, recreation and fitness",Males,1875
2002/2003,Canada,Part-time student,Undergraduate level,"Health, parks, recreation and fitness",Females,9381
2002/2003,Canada,Part-time student,Undergraduate level,"Personal, protective and transportation services",Both sexes,459
2002/2003,Canada,Part-time student,Undergraduate level,"Personal, protective and transportation services",Males,351
2002/2003,Canada,Part-time student,Undergraduate level,"Personal, protective and transportation services",Females,108
2002/2003,Canada,Part-time student,Undergraduate level,Other instructional programs,Both sexes,4245
2002/2003,Canada,Part-time student,Undergraduate level,Other instructional programs,Males,1407
2002/2003,Canada,Part-time student,Undergraduate level,Other instructional programs,Females,2838
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Total, instructional programs",Both sexes,108393
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Total, instructional programs",Males,44604
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Total, instructional programs",Females,63780
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Education,Both sexes,7689
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Education,Males,1881
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Education,Females,5805
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Both sexes,3834
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Males,1296
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Females,2538
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Humanities,Both sexes,25125
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Humanities,Males,9774
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Humanities,Females,15348
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Both sexes,20268
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Males,7311
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Females,12954
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Business, management and public administration",Both sexes,18780
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Business, management and public administration",Males,7782
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Business, management and public administration",Females,10998
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Both sexes,7161
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Males,3573
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Females,3585
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Both sexes,7602
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Males,5619
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Females,1983
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Both sexes,5946
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Males,4602
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Females,1344
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Both sexes,1062
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Males,522
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Females,534
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Both sexes,8490
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Males,1353
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Females,7137
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Both sexes,63
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Males,30
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Females,33
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Other instructional programs,Both sexes,2373
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Other instructional programs,Males,861
2002/2003,Canada,Part-time student,Bachelor's and other undergraduate degree,Other instructional programs,Females,1512
2002/2003,Canada,Part-time student,Other undergraduate level,"Total, instructional programs",Both sexes,47106
2002/2003,Canada,Part-time student,Other undergraduate level,"Total, instructional programs",Males,16218
2002/2003,Canada,Part-time student,Other undergraduate level,"Total, instructional programs",Females,30885
2002/2003,Canada,Part-time student,Other undergraduate level,Personal improvement and leisure,Both sexes,12
2002/2003,Canada,Part-time student,Other undergraduate level,Personal improvement and leisure,Males,3
2002/2003,Canada,Part-time student,Other undergraduate level,Personal improvement and leisure,Females,6
2002/2003,Canada,Part-time student,Other undergraduate level,Education,Both sexes,6795
2002/2003,Canada,Part-time student,Other undergraduate level,Education,Males,2103
2002/2003,Canada,Part-time student,Other undergraduate level,Education,Females,4692
2002/2003,Canada,Part-time student,Other undergraduate level,Visual and performing arts and communications technologies,Both sexes,831
2002/2003,Canada,Part-time student,Other undergraduate level,Visual and performing arts and communications technologies,Males,219
2002/2003,Canada,Part-time student,Other undergraduate level,Visual and performing arts and communications technologies,Females,612
2002/2003,Canada,Part-time student,Other undergraduate level,Humanities,Both sexes,5127
2002/2003,Canada,Part-time student,Other undergraduate level,Humanities,Males,1587
2002/2003,Canada,Part-time student,Other undergraduate level,Humanities,Females,3540
2002/2003,Canada,Part-time student,Other undergraduate level,Social and behavioural sciences and law,Both sexes,4332
2002/2003,Canada,Part-time student,Other undergraduate level,Social and behavioural sciences and law,Males,1413
2002/2003,Canada,Part-time student,Other undergraduate level,Social and behavioural sciences and law,Females,2916
2002/2003,Canada,Part-time student,Other undergraduate level,"Business, management and public administration",Both sexes,21243
2002/2003,Canada,Part-time student,Other undergraduate level,"Business, management and public administration",Males,7074
2002/2003,Canada,Part-time student,Other undergraduate level,"Business, management and public administration",Females,14163
2002/2003,Canada,Part-time student,Other undergraduate level,Physical and life sciences and technologies,Both sexes,216
2002/2003,Canada,Part-time student,Other undergraduate level,Physical and life sciences and technologies,Males,90
2002/2003,Canada,Part-time student,Other undergraduate level,Physical and life sciences and technologies,Females,126
2002/2003,Canada,Part-time student,Other undergraduate level,"Mathematics, computer and information sciences",Both sexes,1794
2002/2003,Canada,Part-time student,Other undergraduate level,"Mathematics, computer and information sciences",Males,1185
2002/2003,Canada,Part-time student,Other undergraduate level,"Mathematics, computer and information sciences",Females,606
2002/2003,Canada,Part-time student,Other undergraduate level,"Architecture, engineering and related technologies",Both sexes,1161
2002/2003,Canada,Part-time student,Other undergraduate level,"Architecture, engineering and related technologies",Males,927
2002/2003,Canada,Part-time student,Other undergraduate level,"Architecture, engineering and related technologies",Females,231
2002/2003,Canada,Part-time student,Other undergraduate level,"Agriculture, natural resources and conservation",Both sexes,564
2002/2003,Canada,Part-time student,Other undergraduate level,"Agriculture, natural resources and conservation",Males,228
2002/2003,Canada,Part-time student,Other undergraduate level,"Agriculture, natural resources and conservation",Females,336
2002/2003,Canada,Part-time student,Other undergraduate level,"Health, parks, recreation and fitness",Both sexes,2766
2002/2003,Canada,Part-time student,Other undergraduate level,"Health, parks, recreation and fitness",Males,522
2002/2003,Canada,Part-time student,Other undergraduate level,"Health, parks, recreation and fitness",Females,2244
2002/2003,Canada,Part-time student,Other undergraduate level,"Personal, protective and transportation services",Both sexes,396
2002/2003,Canada,Part-time student,Other undergraduate level,"Personal, protective and transportation services",Males,321
2002/2003,Canada,Part-time student,Other undergraduate level,"Personal, protective and transportation services",Females,75
2002/2003,Canada,Part-time student,Other undergraduate level,Other instructional programs,Both sexes,1875
2002/2003,Canada,Part-time student,Other undergraduate level,Other instructional programs,Males,546
2002/2003,Canada,Part-time student,Other undergraduate level,Other instructional programs,Females,1326
2002/2003,Canada,Part-time student,Graduate level,"Total, instructional programs",Both sexes,42387
2002/2003,Canada,Part-time student,Graduate level,"Total, instructional programs",Males,19251
2002/2003,Canada,Part-time student,Graduate level,"Total, instructional programs",Females,23136
2002/2003,Canada,Part-time student,Graduate level,Education,Both sexes,10446
2002/2003,Canada,Part-time student,Graduate level,Education,Males,2964
2002/2003,Canada,Part-time student,Graduate level,Education,Females,7485
2002/2003,Canada,Part-time student,Graduate level,Visual and performing arts and communications technologies,Both sexes,543
2002/2003,Canada,Part-time student,Graduate level,Visual and performing arts and communications technologies,Males,192
2002/2003,Canada,Part-time student,Graduate level,Visual and performing arts and communications technologies,Females,348
2002/2003,Canada,Part-time student,Graduate level,Humanities,Both sexes,2895
2002/2003,Canada,Part-time student,Graduate level,Humanities,Males,1341
2002/2003,Canada,Part-time student,Graduate level,Humanities,Females,1554
2002/2003,Canada,Part-time student,Graduate level,Social and behavioural sciences and law,Both sexes,3987
2002/2003,Canada,Part-time student,Graduate level,Social and behavioural sciences and law,Males,1560
2002/2003,Canada,Part-time student,Graduate level,Social and behavioural sciences and law,Females,2427
2002/2003,Canada,Part-time student,Graduate level,"Business, management and public administration",Both sexes,13539
2002/2003,Canada,Part-time student,Graduate level,"Business, management and public administration",Males,7311
2002/2003,Canada,Part-time student,Graduate level,"Business, management and public administration",Females,6231
2002/2003,Canada,Part-time student,Graduate level,Physical and life sciences and technologies,Both sexes,1113
2002/2003,Canada,Part-time student,Graduate level,Physical and life sciences and technologies,Males,609
2002/2003,Canada,Part-time student,Graduate level,Physical and life sciences and technologies,Females,507
2002/2003,Canada,Part-time student,Graduate level,"Mathematics, computer and information sciences",Both sexes,1518
2002/2003,Canada,Part-time student,Graduate level,"Mathematics, computer and information sciences",Males,990
2002/2003,Canada,Part-time student,Graduate level,"Mathematics, computer and information sciences",Females,528
2002/2003,Canada,Part-time student,Graduate level,"Architecture, engineering and related technologies",Both sexes,3684
2002/2003,Canada,Part-time student,Graduate level,"Architecture, engineering and related technologies",Males,2922
2002/2003,Canada,Part-time student,Graduate level,"Architecture, engineering and related technologies",Females,762
2002/2003,Canada,Part-time student,Graduate level,"Agriculture, natural resources and conservation",Both sexes,690
2002/2003,Canada,Part-time student,Graduate level,"Agriculture, natural resources and conservation",Males,360
2002/2003,Canada,Part-time student,Graduate level,"Agriculture, natural resources and conservation",Females,330
2002/2003,Canada,Part-time student,Graduate level,"Health, parks, recreation and fitness",Both sexes,3561
2002/2003,Canada,Part-time student,Graduate level,"Health, parks, recreation and fitness",Males,720
2002/2003,Canada,Part-time student,Graduate level,"Health, parks, recreation and fitness",Females,2844
2002/2003,Canada,Part-time student,Graduate level,"Personal, protective and transportation services",Both sexes,243
2002/2003,Canada,Part-time student,Graduate level,"Personal, protective and transportation services",Males,207
2002/2003,Canada,Part-time student,Graduate level,"Personal, protective and transportation services",Females,36
2002/2003,Canada,Part-time student,Graduate level,Other instructional programs,Both sexes,165
2002/2003,Canada,Part-time student,Graduate level,Other instructional programs,Males,72
2002/2003,Canada,Part-time student,Graduate level,Other instructional programs,Females,93
2002/2003,Canada,Part-time student,Master's degree,"Total, instructional programs",Both sexes,30705
2002/2003,Canada,Part-time student,Master's degree,"Total, instructional programs",Males,14139
2002/2003,Canada,Part-time student,Master's degree,"Total, instructional programs",Females,16566
2002/2003,Canada,Part-time student,Master's degree,Education,Both sexes,7164
2002/2003,Canada,Part-time student,Master's degree,Education,Males,1947
2002/2003,Canada,Part-time student,Master's degree,Education,Females,5217
2002/2003,Canada,Part-time student,Master's degree,Visual and performing arts and communications technologies,Both sexes,339
2002/2003,Canada,Part-time student,Master's degree,Visual and performing arts and communications technologies,Males,132
2002/2003,Canada,Part-time student,Master's degree,Visual and performing arts and communications technologies,Females,204
2002/2003,Canada,Part-time student,Master's degree,Humanities,Both sexes,1944
2002/2003,Canada,Part-time student,Master's degree,Humanities,Males,906
2002/2003,Canada,Part-time student,Master's degree,Humanities,Females,1038
2002/2003,Canada,Part-time student,Master's degree,Social and behavioural sciences and law,Both sexes,3135
2002/2003,Canada,Part-time student,Master's degree,Social and behavioural sciences and law,Males,1203
2002/2003,Canada,Part-time student,Master's degree,Social and behavioural sciences and law,Females,1935
2002/2003,Canada,Part-time student,Master's degree,"Business, management and public administration",Both sexes,10110
2002/2003,Canada,Part-time student,Master's degree,"Business, management and public administration",Males,5670
2002/2003,Canada,Part-time student,Master's degree,"Business, management and public administration",Females,4440
2002/2003,Canada,Part-time student,Master's degree,Physical and life sciences and technologies,Both sexes,732
2002/2003,Canada,Part-time student,Master's degree,Physical and life sciences and technologies,Males,381
2002/2003,Canada,Part-time student,Master's degree,Physical and life sciences and technologies,Females,348
2002/2003,Canada,Part-time student,Master's degree,"Mathematics, computer and information sciences",Both sexes,1056
2002/2003,Canada,Part-time student,Master's degree,"Mathematics, computer and information sciences",Males,651
2002/2003,Canada,Part-time student,Master's degree,"Mathematics, computer and information sciences",Females,408
2002/2003,Canada,Part-time student,Master's degree,"Architecture, engineering and related technologies",Both sexes,2976
2002/2003,Canada,Part-time student,Master's degree,"Architecture, engineering and related technologies",Males,2328
2002/2003,Canada,Part-time student,Master's degree,"Architecture, engineering and related technologies",Females,648
2002/2003,Canada,Part-time student,Master's degree,"Agriculture, natural resources and conservation",Both sexes,456
2002/2003,Canada,Part-time student,Master's degree,"Agriculture, natural resources and conservation",Males,240
2002/2003,Canada,Part-time student,Master's degree,"Agriculture, natural resources and conservation",Females,216
2002/2003,Canada,Part-time student,Master's degree,"Health, parks, recreation and fitness",Both sexes,2472
2002/2003,Canada,Part-time student,Master's degree,"Health, parks, recreation and fitness",Males,441
2002/2003,Canada,Part-time student,Master's degree,"Health, parks, recreation and fitness",Females,2034
2002/2003,Canada,Part-time student,Master's degree,"Personal, protective and transportation services",Both sexes,234
2002/2003,Canada,Part-time student,Master's degree,"Personal, protective and transportation services",Males,201
2002/2003,Canada,Part-time student,Master's degree,"Personal, protective and transportation services",Females,36
2002/2003,Canada,Part-time student,Master's degree,Other instructional programs,Both sexes,87
2002/2003,Canada,Part-time student,Master's degree,Other instructional programs,Males,39
2002/2003,Canada,Part-time student,Master's degree,Other instructional programs,Females,48
2002/2003,Canada,Part-time student,Doctorate,"Total, instructional programs",Both sexes,2859
2002/2003,Canada,Part-time student,Doctorate,"Total, instructional programs",Males,1476
2002/2003,Canada,Part-time student,Doctorate,"Total, instructional programs",Females,1383
2002/2003,Canada,Part-time student,Doctorate,Education,Both sexes,570
2002/2003,Canada,Part-time student,Doctorate,Education,Males,195
2002/2003,Canada,Part-time student,Doctorate,Education,Females,375
2002/2003,Canada,Part-time student,Doctorate,Visual and performing arts and communications technologies,Both sexes,57
2002/2003,Canada,Part-time student,Doctorate,Visual and performing arts and communications technologies,Males,21
2002/2003,Canada,Part-time student,Doctorate,Visual and performing arts and communications technologies,Females,33
2002/2003,Canada,Part-time student,Doctorate,Humanities,Both sexes,399
2002/2003,Canada,Part-time student,Doctorate,Humanities,Males,192
2002/2003,Canada,Part-time student,Doctorate,Humanities,Females,207
2002/2003,Canada,Part-time student,Doctorate,Social and behavioural sciences and law,Both sexes,588
2002/2003,Canada,Part-time student,Doctorate,Social and behavioural sciences and law,Males,255
2002/2003,Canada,Part-time student,Doctorate,Social and behavioural sciences and law,Females,333
2002/2003,Canada,Part-time student,Doctorate,"Business, management and public administration",Both sexes,165
2002/2003,Canada,Part-time student,Doctorate,"Business, management and public administration",Males,90
2002/2003,Canada,Part-time student,Doctorate,"Business, management and public administration",Females,78
2002/2003,Canada,Part-time student,Doctorate,Physical and life sciences and technologies,Both sexes,303
2002/2003,Canada,Part-time student,Doctorate,Physical and life sciences and technologies,Males,198
2002/2003,Canada,Part-time student,Doctorate,Physical and life sciences and technologies,Females,108
2002/2003,Canada,Part-time student,Doctorate,"Mathematics, computer and information sciences",Both sexes,117
2002/2003,Canada,Part-time student,Doctorate,"Mathematics, computer and information sciences",Males,96
2002/2003,Canada,Part-time student,Doctorate,"Mathematics, computer and information sciences",Females,24
2002/2003,Canada,Part-time student,Doctorate,"Architecture, engineering and related technologies",Both sexes,339
2002/2003,Canada,Part-time student,Doctorate,"Architecture, engineering and related technologies",Males,303
2002/2003,Canada,Part-time student,Doctorate,"Architecture, engineering and related technologies",Females,36
2002/2003,Canada,Part-time student,Doctorate,"Agriculture, natural resources and conservation",Both sexes,90
2002/2003,Canada,Part-time student,Doctorate,"Agriculture, natural resources and conservation",Males,54
2002/2003,Canada,Part-time student,Doctorate,"Agriculture, natural resources and conservation",Females,36
2002/2003,Canada,Part-time student,Doctorate,"Health, parks, recreation and fitness",Both sexes,210
2002/2003,Canada,Part-time student,Doctorate,"Health, parks, recreation and fitness",Males,63
2002/2003,Canada,Part-time student,Doctorate,"Health, parks, recreation and fitness",Females,150
2002/2003,Canada,Part-time student,Doctorate,"Personal, protective and transportation services",Both sexes,6
2002/2003,Canada,Part-time student,Doctorate,"Personal, protective and transportation services",Males,6
2002/2003,Canada,Part-time student,Doctorate,"Personal, protective and transportation services",Females,0
2002/2003,Canada,Part-time student,Doctorate,Other instructional programs,Both sexes,12
2002/2003,Canada,Part-time student,Doctorate,Other instructional programs,Males,6
2002/2003,Canada,Part-time student,Doctorate,Other instructional programs,Females,6
2002/2003,Canada,Part-time student,Other graduate levels,"Total, instructional programs",Both sexes,8823
2002/2003,Canada,Part-time student,Other graduate levels,"Total, instructional programs",Males,3636
2002/2003,Canada,Part-time student,Other graduate levels,"Total, instructional programs",Females,5187
2002/2003,Canada,Part-time student,Other graduate levels,Education,Both sexes,2718
2002/2003,Canada,Part-time student,Other graduate levels,Education,Males,825
2002/2003,Canada,Part-time student,Other graduate levels,Education,Females,1893
2002/2003,Canada,Part-time student,Other graduate levels,Visual and performing arts and communications technologies,Both sexes,147
2002/2003,Canada,Part-time student,Other graduate levels,Visual and performing arts and communications technologies,Males,39
2002/2003,Canada,Part-time student,Other graduate levels,Visual and performing arts and communications technologies,Females,108
2002/2003,Canada,Part-time student,Other graduate levels,Humanities,Both sexes,552
2002/2003,Canada,Part-time student,Other graduate levels,Humanities,Males,243
2002/2003,Canada,Part-time student,Other graduate levels,Humanities,Females,306
2002/2003,Canada,Part-time student,Other graduate levels,Social and behavioural sciences and law,Both sexes,267
2002/2003,Canada,Part-time student,Other graduate levels,Social and behavioural sciences and law,Males,105
2002/2003,Canada,Part-time student,Other graduate levels,Social and behavioural sciences and law,Females,162
2002/2003,Canada,Part-time student,Other graduate levels,"Business, management and public administration",Both sexes,3264
2002/2003,Canada,Part-time student,Other graduate levels,"Business, management and public administration",Males,1551
2002/2003,Canada,Part-time student,Other graduate levels,"Business, management and public administration",Females,1713
2002/2003,Canada,Part-time student,Other graduate levels,Physical and life sciences and technologies,Both sexes,78
2002/2003,Canada,Part-time student,Other graduate levels,Physical and life sciences and technologies,Males,27
2002/2003,Canada,Part-time student,Other graduate levels,Physical and life sciences and technologies,Females,54
2002/2003,Canada,Part-time student,Other graduate levels,"Mathematics, computer and information sciences",Both sexes,342
2002/2003,Canada,Part-time student,Other graduate levels,"Mathematics, computer and information sciences",Males,246
2002/2003,Canada,Part-time student,Other graduate levels,"Mathematics, computer and information sciences",Females,96
2002/2003,Canada,Part-time student,Other graduate levels,"Architecture, engineering and related technologies",Both sexes,369
2002/2003,Canada,Part-time student,Other graduate levels,"Architecture, engineering and related technologies",Males,291
2002/2003,Canada,Part-time student,Other graduate levels,"Architecture, engineering and related technologies",Females,78
2002/2003,Canada,Part-time student,Other graduate levels,"Agriculture, natural resources and conservation",Both sexes,141
2002/2003,Canada,Part-time student,Other graduate levels,"Agriculture, natural resources and conservation",Males,66
2002/2003,Canada,Part-time student,Other graduate levels,"Agriculture, natural resources and conservation",Females,75
2002/2003,Canada,Part-time student,Other graduate levels,"Health, parks, recreation and fitness",Both sexes,873
2002/2003,Canada,Part-time student,Other graduate levels,"Health, parks, recreation and fitness",Males,216
2002/2003,Canada,Part-time student,Other graduate levels,"Health, parks, recreation and fitness",Females,660
2002/2003,Canada,Part-time student,Other graduate levels,Other instructional programs,Both sexes,72
2002/2003,Canada,Part-time student,Other graduate levels,Other instructional programs,Males,33
2002/2003,Canada,Part-time student,Other graduate levels,Other instructional programs,Females,39
2002/2003,Canada,Part-time student,Other program levels,"Total, instructional programs",Both sexes,59124
2002/2003,Canada,Part-time student,Other program levels,"Total, instructional programs",Males,22434
2002/2003,Canada,Part-time student,Other program levels,"Total, instructional programs",Females,36672
2002/2003,Canada,Part-time student,Other program levels,Personal improvement and leisure,Both sexes,57
2002/2003,Canada,Part-time student,Other program levels,Personal improvement and leisure,Males,18
2002/2003,Canada,Part-time student,Other program levels,Personal improvement and leisure,Females,36
2002/2003,Canada,Part-time student,Other program levels,Education,Both sexes,2841
2002/2003,Canada,Part-time student,Other program levels,Education,Males,678
2002/2003,Canada,Part-time student,Other program levels,Education,Females,2163
2002/2003,Canada,Part-time student,Other program levels,Visual and performing arts and communications technologies,Both sexes,630
2002/2003,Canada,Part-time student,Other program levels,Visual and performing arts and communications technologies,Males,273
2002/2003,Canada,Part-time student,Other program levels,Visual and performing arts and communications technologies,Females,357
2002/2003,Canada,Part-time student,Other program levels,Humanities,Both sexes,4239
2002/2003,Canada,Part-time student,Other program levels,Humanities,Males,1434
2002/2003,Canada,Part-time student,Other program levels,Humanities,Females,2805
2002/2003,Canada,Part-time student,Other program levels,Social and behavioural sciences and law,Both sexes,798
2002/2003,Canada,Part-time student,Other program levels,Social and behavioural sciences and law,Males,315
2002/2003,Canada,Part-time student,Other program levels,Social and behavioural sciences and law,Females,486
2002/2003,Canada,Part-time student,Other program levels,"Business, management and public administration",Both sexes,3792
2002/2003,Canada,Part-time student,Other program levels,"Business, management and public administration",Males,1563
2002/2003,Canada,Part-time student,Other program levels,"Business, management and public administration",Females,2226
2002/2003,Canada,Part-time student,Other program levels,Physical and life sciences and technologies,Both sexes,831
2002/2003,Canada,Part-time student,Other program levels,Physical and life sciences and technologies,Males,444
2002/2003,Canada,Part-time student,Other program levels,Physical and life sciences and technologies,Females,390
2002/2003,Canada,Part-time student,Other program levels,"Mathematics, computer and information sciences",Both sexes,501
2002/2003,Canada,Part-time student,Other program levels,"Mathematics, computer and information sciences",Males,363
2002/2003,Canada,Part-time student,Other program levels,"Mathematics, computer and information sciences",Females,135
2002/2003,Canada,Part-time student,Other program levels,"Architecture, engineering and related technologies",Both sexes,786
2002/2003,Canada,Part-time student,Other program levels,"Architecture, engineering and related technologies",Males,495
2002/2003,Canada,Part-time student,Other program levels,"Architecture, engineering and related technologies",Females,294
2002/2003,Canada,Part-time student,Other program levels,"Agriculture, natural resources and conservation",Both sexes,105
2002/2003,Canada,Part-time student,Other program levels,"Agriculture, natural resources and conservation",Males,45
2002/2003,Canada,Part-time student,Other program levels,"Agriculture, natural resources and conservation",Females,57
2002/2003,Canada,Part-time student,Other program levels,"Health, parks, recreation and fitness",Both sexes,960
2002/2003,Canada,Part-time student,Other program levels,"Health, parks, recreation and fitness",Males,102
2002/2003,Canada,Part-time student,Other program levels,"Health, parks, recreation and fitness",Females,861
2002/2003,Canada,Part-time student,Other program levels,"Personal, protective and transportation services",Both sexes,0
2002/2003,Canada,Part-time student,Other program levels,"Personal, protective and transportation services",Males,0
2002/2003,Canada,Part-time student,Other program levels,"Personal, protective and transportation services",Females,0
2002/2003,Canada,Part-time student,Other program levels,Other instructional programs,Both sexes,43584
2002/2003,Canada,Part-time student,Other program levels,Other instructional programs,Males,16707
2002/2003,Canada,Part-time student,Other program levels,Other instructional programs,Females,26862
2003/2004,Canada,"Total, registration status","Total, program level","Total, instructional programs",Both sexes,993714
2003/2004,Canada,"Total, registration status","Total, program level","Total, instructional programs",Males,419634
2003/2004,Canada,"Total, registration status","Total, program level","Total, instructional programs",Females,573828
2003/2004,Canada,"Total, registration status","Total, program level",Personal improvement and leisure,Both sexes,51
2003/2004,Canada,"Total, registration status","Total, program level",Personal improvement and leisure,Males,0
2003/2004,Canada,"Total, registration status","Total, program level",Personal improvement and leisure,Females,6
2003/2004,Canada,"Total, registration status","Total, program level",Education,Both sexes,76674
2003/2004,Canada,"Total, registration status","Total, program level",Education,Males,18606
2003/2004,Canada,"Total, registration status","Total, program level",Education,Females,58059
2003/2004,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Both sexes,34332
2003/2004,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Males,11709
2003/2004,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Females,22620
2003/2004,Canada,"Total, registration status","Total, program level",Humanities,Both sexes,161928
2003/2004,Canada,"Total, registration status","Total, program level",Humanities,Males,60900
2003/2004,Canada,"Total, registration status","Total, program level",Humanities,Females,100989
2003/2004,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Both sexes,163173
2003/2004,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Males,56784
2003/2004,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Females,106359
2003/2004,Canada,"Total, registration status","Total, program level","Business, management and public administration",Both sexes,161211
2003/2004,Canada,"Total, registration status","Total, program level","Business, management and public administration",Males,73518
2003/2004,Canada,"Total, registration status","Total, program level","Business, management and public administration",Females,87681
2003/2004,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Both sexes,84552
2003/2004,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Males,37029
2003/2004,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Females,47514
2003/2004,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Both sexes,44139
2003/2004,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Males,32271
2003/2004,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Females,11847
2003/2004,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Both sexes,85629
2003/2004,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Males,66399
2003/2004,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Females,19221
2003/2004,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Both sexes,14760
2003/2004,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Males,6648
2003/2004,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Females,8109
2003/2004,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Both sexes,92469
2003/2004,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Males,26181
2003/2004,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Females,66237
2003/2004,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Both sexes,1299
2003/2004,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Males,825
2003/2004,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Females,477
2003/2004,Canada,"Total, registration status","Total, program level",Other instructional programs,Both sexes,73491
2003/2004,Canada,"Total, registration status","Total, program level",Other instructional programs,Males,28770
2003/2004,Canada,"Total, registration status","Total, program level",Other instructional programs,Females,44709
