ref_date,geo,reg_status,prog_level,program_class,sex,value
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Total, instructional programs",Both sexes,75393
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Total, instructional programs",Males,27612
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Total, instructional programs",Females,47781
1992/1993,Canada,"Total, registration status",Other undergraduate level,Education,Both sexes,12723
1992/1993,Canada,"Total, registration status",Other undergraduate level,Education,Males,3936
1992/1993,Canada,"Total, registration status",Other undergraduate level,Education,Females,8784
1992/1993,Canada,"Total, registration status",Other undergraduate level,Visual and performing arts and communications technologies,Both sexes,1845
1992/1993,Canada,"Total, registration status",Other undergraduate level,Visual and performing arts and communications technologies,Males,426
1992/1993,Canada,"Total, registration status",Other undergraduate level,Visual and performing arts and communications technologies,Females,1422
1992/1993,Canada,"Total, registration status",Other undergraduate level,Humanities,Both sexes,5604
1992/1993,Canada,"Total, registration status",Other undergraduate level,Humanities,Males,1629
1992/1993,Canada,"Total, registration status",Other undergraduate level,Humanities,Females,3972
1992/1993,Canada,"Total, registration status",Other undergraduate level,Social and behavioural sciences and law,Both sexes,7167
1992/1993,Canada,"Total, registration status",Other undergraduate level,Social and behavioural sciences and law,Males,2388
1992/1993,Canada,"Total, registration status",Other undergraduate level,Social and behavioural sciences and law,Females,4779
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Business, management and public administration",Both sexes,30363
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Business, management and public administration",Males,11304
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Business, management and public administration",Females,19056
1992/1993,Canada,"Total, registration status",Other undergraduate level,Physical and life sciences and technologies,Both sexes,732
1992/1993,Canada,"Total, registration status",Other undergraduate level,Physical and life sciences and technologies,Males,366
1992/1993,Canada,"Total, registration status",Other undergraduate level,Physical and life sciences and technologies,Females,363
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Mathematics, computer and information sciences",Both sexes,3597
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Mathematics, computer and information sciences",Males,2124
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Mathematics, computer and information sciences",Females,1473
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Architecture, engineering and related technologies",Both sexes,3255
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Architecture, engineering and related technologies",Males,2562
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Architecture, engineering and related technologies",Females,693
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Agriculture, natural resources and conservation",Both sexes,771
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Agriculture, natural resources and conservation",Males,486
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Agriculture, natural resources and conservation",Females,285
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Health, parks, recreation and fitness",Both sexes,5460
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Health, parks, recreation and fitness",Males,996
1992/1993,Canada,"Total, registration status",Other undergraduate level,"Health, parks, recreation and fitness",Females,4464
1992/1993,Canada,"Total, registration status",Other undergraduate level,Other instructional programs,Both sexes,3876
1992/1993,Canada,"Total, registration status",Other undergraduate level,Other instructional programs,Males,1392
1992/1993,Canada,"Total, registration status",Other undergraduate level,Other instructional programs,Females,2481
1992/1993,Canada,"Total, registration status",Graduate level,"Total, instructional programs",Both sexes,109494
1992/1993,Canada,"Total, registration status",Graduate level,"Total, instructional programs",Males,59367
1992/1993,Canada,"Total, registration status",Graduate level,"Total, instructional programs",Females,50127
1992/1993,Canada,"Total, registration status",Graduate level,Education,Both sexes,16446
1992/1993,Canada,"Total, registration status",Graduate level,Education,Males,5004
1992/1993,Canada,"Total, registration status",Graduate level,Education,Females,11442
1992/1993,Canada,"Total, registration status",Graduate level,Visual and performing arts and communications technologies,Both sexes,1995
1992/1993,Canada,"Total, registration status",Graduate level,Visual and performing arts and communications technologies,Males,840
1992/1993,Canada,"Total, registration status",Graduate level,Visual and performing arts and communications technologies,Females,1158
1992/1993,Canada,"Total, registration status",Graduate level,Humanities,Both sexes,12159
1992/1993,Canada,"Total, registration status",Graduate level,Humanities,Males,5901
1992/1993,Canada,"Total, registration status",Graduate level,Humanities,Females,6261
1992/1993,Canada,"Total, registration status",Graduate level,Social and behavioural sciences and law,Both sexes,14679
1992/1993,Canada,"Total, registration status",Graduate level,Social and behavioural sciences and law,Males,7044
1992/1993,Canada,"Total, registration status",Graduate level,Social and behavioural sciences and law,Females,7635
1992/1993,Canada,"Total, registration status",Graduate level,"Business, management and public administration",Both sexes,18294
1992/1993,Canada,"Total, registration status",Graduate level,"Business, management and public administration",Males,10809
1992/1993,Canada,"Total, registration status",Graduate level,"Business, management and public administration",Females,7482
1992/1993,Canada,"Total, registration status",Graduate level,Physical and life sciences and technologies,Both sexes,11640
1992/1993,Canada,"Total, registration status",Graduate level,Physical and life sciences and technologies,Males,7605
1992/1993,Canada,"Total, registration status",Graduate level,Physical and life sciences and technologies,Females,4038
1992/1993,Canada,"Total, registration status",Graduate level,"Mathematics, computer and information sciences",Both sexes,4629
1992/1993,Canada,"Total, registration status",Graduate level,"Mathematics, computer and information sciences",Males,3018
1992/1993,Canada,"Total, registration status",Graduate level,"Mathematics, computer and information sciences",Females,1611
1992/1993,Canada,"Total, registration status",Graduate level,"Architecture, engineering and related technologies",Both sexes,11994
1992/1993,Canada,"Total, registration status",Graduate level,"Architecture, engineering and related technologies",Males,9891
1992/1993,Canada,"Total, registration status",Graduate level,"Architecture, engineering and related technologies",Females,2103
1992/1993,Canada,"Total, registration status",Graduate level,"Agriculture, natural resources and conservation",Both sexes,3072
1992/1993,Canada,"Total, registration status",Graduate level,"Agriculture, natural resources and conservation",Males,1932
1992/1993,Canada,"Total, registration status",Graduate level,"Agriculture, natural resources and conservation",Females,1140
1992/1993,Canada,"Total, registration status",Graduate level,"Health, parks, recreation and fitness",Both sexes,13797
1992/1993,Canada,"Total, registration status",Graduate level,"Health, parks, recreation and fitness",Males,6981
1992/1993,Canada,"Total, registration status",Graduate level,"Health, parks, recreation and fitness",Females,6813
1992/1993,Canada,"Total, registration status",Graduate level,"Personal, protective and transportation services",Both sexes,81
1992/1993,Canada,"Total, registration status",Graduate level,"Personal, protective and transportation services",Males,63
1992/1993,Canada,"Total, registration status",Graduate level,"Personal, protective and transportation services",Females,15
1992/1993,Canada,"Total, registration status",Graduate level,Other instructional programs,Both sexes,708
1992/1993,Canada,"Total, registration status",Graduate level,Other instructional programs,Males,279
1992/1993,Canada,"Total, registration status",Graduate level,Other instructional programs,Females,429
1992/1993,Canada,"Total, registration status",Master's degree,"Total, instructional programs",Both sexes,68862
1992/1993,Canada,"Total, registration status",Master's degree,"Total, instructional programs",Males,35064
1992/1993,Canada,"Total, registration status",Master's degree,"Total, instructional programs",Females,33801
1992/1993,Canada,"Total, registration status",Master's degree,Education,Both sexes,12264
1992/1993,Canada,"Total, registration status",Master's degree,Education,Males,3639
1992/1993,Canada,"Total, registration status",Master's degree,Education,Females,8625
1992/1993,Canada,"Total, registration status",Master's degree,Visual and performing arts and communications technologies,Both sexes,1626
1992/1993,Canada,"Total, registration status",Master's degree,Visual and performing arts and communications technologies,Males,645
1992/1993,Canada,"Total, registration status",Master's degree,Visual and performing arts and communications technologies,Females,984
1992/1993,Canada,"Total, registration status",Master's degree,Humanities,Both sexes,7020
1992/1993,Canada,"Total, registration status",Master's degree,Humanities,Males,3264
1992/1993,Canada,"Total, registration status",Master's degree,Humanities,Females,3753
1992/1993,Canada,"Total, registration status",Master's degree,Social and behavioural sciences and law,Both sexes,9033
1992/1993,Canada,"Total, registration status",Master's degree,Social and behavioural sciences and law,Males,4206
1992/1993,Canada,"Total, registration status",Master's degree,Social and behavioural sciences and law,Females,4827
1992/1993,Canada,"Total, registration status",Master's degree,"Business, management and public administration",Both sexes,14805
1992/1993,Canada,"Total, registration status",Master's degree,"Business, management and public administration",Males,8769
1992/1993,Canada,"Total, registration status",Master's degree,"Business, management and public administration",Females,6036
1992/1993,Canada,"Total, registration status",Master's degree,Physical and life sciences and technologies,Both sexes,5778
1992/1993,Canada,"Total, registration status",Master's degree,Physical and life sciences and technologies,Males,3426
1992/1993,Canada,"Total, registration status",Master's degree,Physical and life sciences and technologies,Females,2355
1992/1993,Canada,"Total, registration status",Master's degree,"Mathematics, computer and information sciences",Both sexes,3093
1992/1993,Canada,"Total, registration status",Master's degree,"Mathematics, computer and information sciences",Males,1824
1992/1993,Canada,"Total, registration status",Master's degree,"Mathematics, computer and information sciences",Females,1272
1992/1993,Canada,"Total, registration status",Master's degree,"Architecture, engineering and related technologies",Both sexes,7947
1992/1993,Canada,"Total, registration status",Master's degree,"Architecture, engineering and related technologies",Males,6327
1992/1993,Canada,"Total, registration status",Master's degree,"Architecture, engineering and related technologies",Females,1623
1992/1993,Canada,"Total, registration status",Master's degree,"Agriculture, natural resources and conservation",Both sexes,2076
1992/1993,Canada,"Total, registration status",Master's degree,"Agriculture, natural resources and conservation",Males,1221
1992/1993,Canada,"Total, registration status",Master's degree,"Agriculture, natural resources and conservation",Females,852
1992/1993,Canada,"Total, registration status",Master's degree,"Health, parks, recreation and fitness",Both sexes,4773
1992/1993,Canada,"Total, registration status",Master's degree,"Health, parks, recreation and fitness",Males,1545
1992/1993,Canada,"Total, registration status",Master's degree,"Health, parks, recreation and fitness",Females,3228
1992/1993,Canada,"Total, registration status",Master's degree,"Personal, protective and transportation services",Both sexes,57
1992/1993,Canada,"Total, registration status",Master's degree,"Personal, protective and transportation services",Males,45
1992/1993,Canada,"Total, registration status",Master's degree,"Personal, protective and transportation services",Females,12
1992/1993,Canada,"Total, registration status",Master's degree,Other instructional programs,Both sexes,387
1992/1993,Canada,"Total, registration status",Master's degree,Other instructional programs,Males,150
1992/1993,Canada,"Total, registration status",Master's degree,Other instructional programs,Females,234
1992/1993,Canada,"Total, registration status",Doctorate,"Total, instructional programs",Both sexes,25113
1992/1993,Canada,"Total, registration status",Doctorate,"Total, instructional programs",Males,16017
1992/1993,Canada,"Total, registration status",Doctorate,"Total, instructional programs",Females,9096
1992/1993,Canada,"Total, registration status",Doctorate,Education,Both sexes,2439
1992/1993,Canada,"Total, registration status",Doctorate,Education,Males,963
1992/1993,Canada,"Total, registration status",Doctorate,Education,Females,1476
1992/1993,Canada,"Total, registration status",Doctorate,Visual and performing arts and communications technologies,Both sexes,288
1992/1993,Canada,"Total, registration status",Doctorate,Visual and performing arts and communications technologies,Males,159
1992/1993,Canada,"Total, registration status",Doctorate,Visual and performing arts and communications technologies,Females,126
1992/1993,Canada,"Total, registration status",Doctorate,Humanities,Both sexes,4197
1992/1993,Canada,"Total, registration status",Doctorate,Humanities,Males,2310
1992/1993,Canada,"Total, registration status",Doctorate,Humanities,Females,1884
1992/1993,Canada,"Total, registration status",Doctorate,Social and behavioural sciences and law,Both sexes,4827
1992/1993,Canada,"Total, registration status",Doctorate,Social and behavioural sciences and law,Males,2496
1992/1993,Canada,"Total, registration status",Doctorate,Social and behavioural sciences and law,Females,2331
1992/1993,Canada,"Total, registration status",Doctorate,"Business, management and public administration",Both sexes,660
1992/1993,Canada,"Total, registration status",Doctorate,"Business, management and public administration",Males,441
1992/1993,Canada,"Total, registration status",Doctorate,"Business, management and public administration",Females,216
1992/1993,Canada,"Total, registration status",Doctorate,Physical and life sciences and technologies,Both sexes,5535
1992/1993,Canada,"Total, registration status",Doctorate,Physical and life sciences and technologies,Males,3978
1992/1993,Canada,"Total, registration status",Doctorate,Physical and life sciences and technologies,Females,1557
1992/1993,Canada,"Total, registration status",Doctorate,"Mathematics, computer and information sciences",Both sexes,1305
1992/1993,Canada,"Total, registration status",Doctorate,"Mathematics, computer and information sciences",Males,1065
1992/1993,Canada,"Total, registration status",Doctorate,"Mathematics, computer and information sciences",Females,240
1992/1993,Canada,"Total, registration status",Doctorate,"Architecture, engineering and related technologies",Both sexes,3582
1992/1993,Canada,"Total, registration status",Doctorate,"Architecture, engineering and related technologies",Males,3210
1992/1993,Canada,"Total, registration status",Doctorate,"Architecture, engineering and related technologies",Females,372
1992/1993,Canada,"Total, registration status",Doctorate,"Agriculture, natural resources and conservation",Both sexes,867
1992/1993,Canada,"Total, registration status",Doctorate,"Agriculture, natural resources and conservation",Males,633
1992/1993,Canada,"Total, registration status",Doctorate,"Agriculture, natural resources and conservation",Females,234
1992/1993,Canada,"Total, registration status",Doctorate,"Health, parks, recreation and fitness",Both sexes,1227
1992/1993,Canada,"Total, registration status",Doctorate,"Health, parks, recreation and fitness",Males,675
1992/1993,Canada,"Total, registration status",Doctorate,"Health, parks, recreation and fitness",Females,555
1992/1993,Canada,"Total, registration status",Doctorate,"Personal, protective and transportation services",Both sexes,24
1992/1993,Canada,"Total, registration status",Doctorate,"Personal, protective and transportation services",Males,18
1992/1993,Canada,"Total, registration status",Doctorate,"Personal, protective and transportation services",Females,6
1992/1993,Canada,"Total, registration status",Doctorate,Other instructional programs,Both sexes,162
1992/1993,Canada,"Total, registration status",Doctorate,Other instructional programs,Males,69
1992/1993,Canada,"Total, registration status",Doctorate,Other instructional programs,Females,96
1992/1993,Canada,"Total, registration status",Other graduate levels,"Total, instructional programs",Both sexes,15516
1992/1993,Canada,"Total, registration status",Other graduate levels,"Total, instructional programs",Males,8286
1992/1993,Canada,"Total, registration status",Other graduate levels,"Total, instructional programs",Females,7230
1992/1993,Canada,"Total, registration status",Other graduate levels,Education,Both sexes,1743
1992/1993,Canada,"Total, registration status",Other graduate levels,Education,Males,402
1992/1993,Canada,"Total, registration status",Other graduate levels,Education,Females,1341
1992/1993,Canada,"Total, registration status",Other graduate levels,Visual and performing arts and communications technologies,Both sexes,81
1992/1993,Canada,"Total, registration status",Other graduate levels,Visual and performing arts and communications technologies,Males,36
1992/1993,Canada,"Total, registration status",Other graduate levels,Visual and performing arts and communications technologies,Females,45
1992/1993,Canada,"Total, registration status",Other graduate levels,Humanities,Both sexes,942
1992/1993,Canada,"Total, registration status",Other graduate levels,Humanities,Males,324
1992/1993,Canada,"Total, registration status",Other graduate levels,Humanities,Females,621
1992/1993,Canada,"Total, registration status",Other graduate levels,Social and behavioural sciences and law,Both sexes,816
1992/1993,Canada,"Total, registration status",Other graduate levels,Social and behavioural sciences and law,Males,342
1992/1993,Canada,"Total, registration status",Other graduate levels,Social and behavioural sciences and law,Females,474
1992/1993,Canada,"Total, registration status",Other graduate levels,"Business, management and public administration",Both sexes,2829
1992/1993,Canada,"Total, registration status",Other graduate levels,"Business, management and public administration",Males,1599
